STATION,STATION_NAME,DATE,HPCP,ONGOING_FLOOD
COOP:135315,MCGREGOR IA US,19970215 22:00,0.1,0
COOP:135315,MCGREGOR IA US,19970216 04:00,0.1,0
COOP:135315,MCGREGOR IA US,19970220 10:00,0.2,0
COOP:135315,MCGREGOR IA US,19970220 17:00,0.1,0
COOP:135315,MCGREGOR IA US,19970221 07:00,0.1,0
COOP:135315,MCGREGOR IA US,19970221 09:00,0.1,0
COOP:135315,MCGREGOR IA US,19970226 14:00,0.1,0
COOP:135315,MCGREGOR IA US,19970227 03:00,0.1,0
COOP:135315,MCGREGOR IA US,19970227 04:00,0.1,0
COOP:135315,MCGREGOR IA US,19970228 23:00,0.1,0
COOP:135315,MCGREGOR IA US,19970301 01:00,0,1
COOP:135315,MCGREGOR IA US,19970309 04:00,0.1,1
COOP:135315,MCGREGOR IA US,19970309 05:00,0.2,1
COOP:135315,MCGREGOR IA US,19970309 06:00,0.1,1
COOP:135315,MCGREGOR IA US,19970312 13:00,0.1,1
COOP:135315,MCGREGOR IA US,19970313 10:00,0.1,1
COOP:135315,MCGREGOR IA US,19970313 15:00,0.1,1
COOP:135315,MCGREGOR IA US,19970313 16:00,0.1,1
COOP:135315,MCGREGOR IA US,19970313 17:00,0.1,1
COOP:135315,MCGREGOR IA US,19970313 21:00,0.1,1
COOP:135315,MCGREGOR IA US,19970313 23:00,0.1,1
COOP:135315,MCGREGOR IA US,19970316 16:00,0.1,1
COOP:135315,MCGREGOR IA US,19970324 12:00,0.1,1
COOP:135315,MCGREGOR IA US,19970324 15:00,0.1,1
COOP:135315,MCGREGOR IA US,19970324 19:00,0.1,1
COOP:135315,MCGREGOR IA US,19970328 04:00,0.1,1
COOP:135315,MCGREGOR IA US,19970330 03:00,0.1,1
COOP:135315,MCGREGOR IA US,19970401 01:00,0,1
COOP:135315,MCGREGOR IA US,19970401 17:00,999.99,1
COOP:135315,MCGREGOR IA US,19970501 00:00,999.99,0
COOP:135315,MCGREGOR IA US,19970501 01:00,999.99,0
COOP:135315,MCGREGOR IA US,19970501 11:00,999.99,0
COOP:135315,MCGREGOR IA US,19970501 12:00,999.99,0
COOP:135315,MCGREGOR IA US,19970601 00:00,999.99,0
COOP:135315,MCGREGOR IA US,19970601 01:00,999.99,0
COOP:135315,MCGREGOR IA US,19970603 08:00,999.99,0
COOP:135315,MCGREGOR IA US,19970603 10:00,0.1,0
COOP:135315,MCGREGOR IA US,19970605 15:00,0.1,0
COOP:135315,MCGREGOR IA US,19970605 16:00,0.1,0
COOP:135315,MCGREGOR IA US,19970605 17:00,0.5,0
COOP:135315,MCGREGOR IA US,19970607 17:00,0.1,0
COOP:135315,MCGREGOR IA US,19970607 22:00,0.1,0
COOP:135315,MCGREGOR IA US,19970615 16:00,1.2,0
COOP:135315,MCGREGOR IA US,19970615 17:00,0.1,0
COOP:135315,MCGREGOR IA US,19970615 18:00,0.2,0
COOP:135315,MCGREGOR IA US,19970615 19:00,0.5,0
COOP:135315,MCGREGOR IA US,19970615 21:00,0.1,0
COOP:135315,MCGREGOR IA US,19970615 22:00,0.1,0
COOP:135315,MCGREGOR IA US,19970615 23:00,0.1,0
COOP:135315,MCGREGOR IA US,19970619 11:00,0.1,0
COOP:135315,MCGREGOR IA US,19970621 02:00,1,0
COOP:135315,MCGREGOR IA US,19970621 03:00,0.2,0
COOP:135315,MCGREGOR IA US,19970621 04:00,0.3,0
COOP:135315,MCGREGOR IA US,19970621 05:00,0.3,0
